Timestamp,snack_name,time_of_day,salty_sweet,healthy_level,calories_per_serving,grams_protein,grams_sugar,milligrams_sodium,number_ingredients,why_eating,cost,where_eating,is_school_day
2022/08/31 10:27:26 AM MDT,BLUE DIAMOND ALMONDS BOLD Spicy Dill Pickle,afternoon,Salty,3,260,8,2,190,14,because I like pickles ,$0 to < $1,School,School Day
2022/08/31 10:38:11 AM MDT,Honey Cheerios,night,Sweet,3,210,6,12,340,10,hungry,$0 to < $1,School,School Day
2022/08/31 10:39:40 AM MDT,Rice Krispies Treat,morning,Sweet,2,90,0,8,105,24,I am hungry and this is my lunch tbh </3,$0 to < $1,School,School Day
2022/08/31 10:40:33 AM MDT,non fat plain Greek yogurt ,morning,Sweet,4,90,15,4,65,6,because I think its tasty ,$0 to < $1,Home,School Day
2022/08/31 10:42:08 AM MDT,Vitamin Water: tropical citrus.,morning,Sweet,4,100,0,27,0,16,Delicious,$1 to < $3,School,School Day
2022/08/31 10:42:09 AM MDT,Zbar,morning,Sweet,3,150,2,10,105,14,It's an easy on the go snack ,$1 to < $3,School,School Day
2022/08/31 10:56:04 AM MDT,Stretch Island Fruit Leather,morning,Sweet,3,50,0,10,0,6,I need to eat something before I get to school,$0 to < $1,Other,School Day
2022/08/31 12:12:55 PM MDT,monster energy,morning,Sweet,3,10,0,0,310,21,Insomnia,$1 to < $3,School,School Day
2022/08/31 12:13:54 PM MDT,Good to go bar,morning,Sweet,4,170,6,2,159,12,"Its filling, for when I get hungry before I go to lunch.",$3 to < $7,School,School Day
2022/08/31 12:15:25 PM MDT,hot fudge,night,Sweet,1,130,0,18,50,9,sad,$3 to < $7,Home,School Day
2022/08/31 12:15:28 PM MDT,Sun Chips: Garden Salsa,evening,Salty,1,140,2,2,140,23,I was looking for a snack after a volleyball game and the school had a vending machine with these chips,$1 to < $3,School,School Day
2022/08/31 12:16:02 PM MDT,roasted seaweed snack,afternoon,Salty,5,30,1,0,40,3,Yummy,$0 to < $1,School,School Day
2022/08/31 12:16:30 PM MDT,quaker chewy yogurt granola bar,morning,Sweet,2,140,2,11,11,11,It's my snack for the day and is delicious,$3 to < $7,School,School Day
2022/08/31 12:17:32 PM MDT,Hostess Chocolate Frosted Donettes,morning,Sweet,2,70,4.33333,4.6666667,35,5,It’s good because I was craving it,$1 to < $3,School,School Day
2022/08/31 12:19:35 PM MDT,nutella ,morning,Sweet,1,200,2,21,15,8,Because I'm going to eat a nutella sandwhich,$3 to < $7,Home,School Day
2022/08/31 12:19:37 PM MDT,boomchickapop:  sweet & salty,afternoon,Sweet,4,140,8,8,110,4,I wanted to chew something and that was all I had,$7 or more,School,School Day
2022/08/31 12:19:40 PM MDT,Chocolate Chip Eggo Waffles,morning,Sweet,2,200,4,9,370,14,hungry,$0 to < $1,School,School Day
2022/08/31 12:20:07 PM MDT,nature valley sweet and salty nut granola bar,morning,Sweet,3,170,4,7,140,26,Energy. ,$0 to < $1,School,School Day
2022/08/31 12:22:19 PM MDT,Motts Fruit Snacks,afternoon,Sweet,3,80,0,9,35,18,It was in my lunch,$7 or more,School,School Day
2022/08/31 12:34:27 PM MDT,nature's bakery fig bar,morning,Sweet,3,200,3,19,80,11,breakfast to go,$1 to < $3,School,School Day
2022/08/31 12:34:41 PM MDT,Quaker chewy chocolate chip,morning,Sweet,3,100,1,7,70,16,didn't have time to eat breakfast,$3 to < $7,Home,School Day
2022/08/31 12:35:08 PM MDT,Dunkin Donut Chocolate Butternut Donut,morning,Sweet,1,430,4,32,420,10,sweet and yummy,$0 to < $1,School,School Day
2022/08/31 1:56:47 PM MDT,popcorn,afternoon,Salty,2,150,2,0,150,3,hungry and have no lunch,$1 to < $3,School,School Day
2022/08/31 2:00:31 PM MDT,Takis,afternoon,Salty,1,150,2,1,420,21,Delicious,$1 to < $3,School,School Day
2022/08/31 2:47:27 PM MDT,Takis fuego,afternoon,Salty,1,150,2,1,420,21,Delicious,$1 to < $3,School,School Day
2022/08/31 4:12:38 PM MDT,GoGo Squeez Apple Cinnamon,afternoon,Sweet,4,70,0,13,0,4,hungry,$0 to < $1,School,School Day
2022/08/31 5:12:33 PM MDT,Club & Cheddar Sandwich Crackers,afternoon,Salty,2,250,4,7,400,15,Hungry,$0 to < $1,Other,School Day
2022/09/01 10:10:07 AM MDT,Apple,evening,Sweet,5,95,0.5,19,0,1,an apple a day keeps the doctor away,$0 to < $1,School,School Day
2022/09/01 1:00:13 PM MDT,Fritos,afternoon,Salty,3,160,2,0,170,3,It tastes good.,$0 to < $1,School,School Day
2022/09/01 1:09:24 PM MDT,Reese's Peanut Butter Cup ,morning,Sweet,1,230,4,20,130,6,ms leifield,$0 to < $1,School,School Day
2022/09/01 1:52:16 PM MDT,Fruit Roll-Ups,afternoon,Sweet,1,50,0,7,50,14,lunch,$0 to < $1,School,School Day
2022/09/01 3:14:25 PM MDT,Grapes,afternoon,Sweet,5,104,1.09,23.37,0,1,Delicious,$3 to < $7,School,School Day
2022/09/01 3:42:42 PM MDT,Mini Muffins Chocolate Chip ,afternoon,Sweet,2,180,2,15,135,14,bored,$0 to < $1,School,School Day
2022/09/01 5:08:26 PM MDT,Pomegranate seeds,morning,Sweet,5,28,0.2,1.4,0,1,I was hungry during ids and it was in my lunch.,$3 to < $7,School,School Day
2022/09/01 6:13:22 PM MDT,Salami,morning,Salty,3,110,7,1,440,10,Because I was hungry during APES and it was in my lunch box and its yummy,$3 to < $7,School,School Day
2022/09/01 6:15:06 PM MDT,Kettle Potato Chips: Sea Salt,evening,Salty,2,150,2,0,110,5,Im hungry and I havent had dinner yet,$3 to < $7,Home,School Day
